     40/99     7.78G   0.04196   0.02069   0.05654    0.1192        38      1024    0.1375    0.1429    0.2296    0.1325   0.02568   0.02824   0.05245
     41/99     7.78G   0.03787   0.01965   0.05686    0.1144        39      1024   0.08903    0.2264    0.2509    0.1729   0.02595   0.02719   0.05156
     42/99     7.78G   0.04062   0.02118   0.05558    0.1174        23      1024    0.0573    0.1905    0.1794   0.09962   0.03085   0.02738   0.05014
     43/99     7.78G   0.03895   0.01968   0.05642    0.1151        24      1024    0.2416    0.2399    0.2715    0.1571   0.02886   0.02712   0.05014
     44/99     7.78G   0.03953   0.01929   0.05562    0.1144        18      1024    0.1174    0.1513    0.2298    0.1133   0.02756   0.02749   0.04974
     45/99     7.78G   0.03822   0.02178   0.05564    0.1156        45      1024    0.1218    0.2577    0.2667    0.1293   0.02435   0.02623   0.04957
     46/99     7.78G   0.03643   0.01959   0.05488    0.1109        32      1024    0.1824    0.2363     0.289     0.152   0.02803   0.02558   0.04988
     47/99     7.78G   0.03467   0.01812   0.05482    0.1076        29      1024    0.1495     0.256    0.2718    0.2017   0.02094   0.02462   0.05062
     48/99     7.78G   0.03707   0.01971   0.05581    0.1126        35      1024     0.139    0.3106    0.2738    0.1358   0.02492   0.02557   0.04986
     49/99     7.78G   0.03436   0.01859   0.05396    0.1069        29      1024    0.1513    0.3113    0.2677    0.1647   0.02492   0.02542   0.04971
     50/99     7.78G   0.03616   0.01778   0.05515    0.1091        22      1024    0.1715    0.2756    0.2585    0.1245   0.02723    0.0264   0.04919
     51/99     7.78G   0.03456    0.0183   0.05389    0.1068        30      1024    0.1479    0.3155    0.2969    0.2049   0.01996   0.02431   0.04885
     52/99     7.78G   0.03373   0.01864   0.05355    0.1059        33      1024    0.2399    0.2797    0.2978    0.2069   0.02015   0.02427   0.04919
     53/99     7.78G   0.03483   0.01984   0.05393    0.1086        39      1024    0.1518    0.3274    0.3129    0.2125   0.02166   0.02413   0.04931
     54/99     7.78G   0.03292   0.01881   0.05446    0.1062        32      1024     0.161    0.3569     0.296     0.198   0.02064    0.0242   0.04874
     55/99     7.78G   0.03073   0.01682   0.05523    0.1028        32      1024    0.2085    0.3158    0.3116    0.1772   0.02499    0.0248   0.04818
     56/99     7.78G   0.03342   0.01644   0.05218     0.102        33      1024    0.1976    0.2756    0.3173      0.19   0.02003   0.02461   0.04767
     57/99     7.78G   0.03434   0.01779     0.053    0.1051        33      1024    0.1681    0.3988    0.3747    0.2565   0.02182   0.02392   0.04803
     58/99     7.78G    0.0301   0.01791   0.05332    0.1013        31      1024    0.2364    0.3712    0.3495    0.2418   0.01711   0.02345   0.04841
     59/99     7.78G   0.03006   0.01657   0.05244   0.09907        28      1024    0.1872    0.3877    0.3666    0.2254   0.01777   0.02306   0.04851
     60/99     7.78G   0.03067   0.01765   0.05372     0.102        30      1024    0.1713     0.375    0.3408    0.2646   0.01932   0.02434   0.04877
     61/99     7.78G   0.03285    0.0192   0.05253    0.1046        42      1024     0.189    0.4185    0.3377    0.2565   0.01777   0.02294   0.04818
     62/99     7.78G   0.03075   0.01553   0.05326   0.09954        29      1024    0.1746    0.4745    0.3702    0.2801   0.01764   0.02263   0.04792
     63/99     7.78G     0.034   0.01876   0.05276    0.1055        42      1024     0.166    0.2566    0.3001    0.1733   0.02465   0.02451   0.04796
     64/99     7.78G   0.03666   0.01969   0.05096    0.1073        48      1024    0.2004    0.4545    0.3627    0.2622   0.01959   0.02353   0.04749
     65/99     7.78G   0.03849   0.01839   0.05217     0.109        33      1024    0.2418     0.622    0.3515    0.1205   0.02615    0.0259   0.04694
     66/99     7.78G   0.03937   0.01833   0.05051    0.1082        35      1024    0.1896    0.2397    0.3515    0.2324   0.02483   0.02541   0.04727
     67/99     7.78G   0.03497   0.01838   0.04951    0.1029        31      1024    0.2173    0.6144    0.3619    0.2414   0.02623     0.025   0.04784
     68/99     7.78G   0.04008   0.01788   0.05077    0.1087        32      1024    0.2332    0.5834    0.3752    0.2993   0.01863   0.02416   0.04772
     69/99     7.78G   0.03418   0.01722   0.05103    0.1024        22      1024    0.1849    0.7141    0.3764    0.1903    0.0227   0.02486   0.04741
     70/99     7.78G   0.03467   0.01791   0.05022    0.1028        38      1024    0.2448    0.5117    0.3704    0.2964   0.01918    0.0242   0.04693
     71/99     7.78G   0.03225   0.01788   0.05197    0.1021        34      1024    0.2362    0.6131    0.3769    0.2614   0.02049    0.0242   0.04686
     72/99     7.78G   0.03432   0.01638   0.05057    0.1013        23      1024     0.234     0.625    0.3903    0.2212   0.02268    0.0247   0.04658
     73/99     7.78G   0.03381   0.01786   0.05074    0.1024        29      1024    0.1942    0.5228    0.3759    0.2384   0.02008   0.02329   0.04599
     74/99     7.78G   0.03211   0.01796   0.04956   0.09963        28      1024    0.2253    0.6237    0.3953    0.2647    0.0187   0.02309   0.04567
     75/99     7.78G   0.03012   0.01551   0.04811   0.09373        21      1024    0.2483    0.5998     0.405    0.2882   0.01901   0.02247   0.04488
     76/99     7.78G   0.02738   0.01794   0.05028   0.09561        33      1024     0.228    0.7679    0.4316    0.2788   0.01676   0.02216   0.04487
     77/99     7.78G   0.02906   0.01668   0.04901   0.09475        24      1024    0.2667    0.6372    0.4157    0.3198   0.01786   0.02237   0.04477
     78/99     7.78G   0.02804   0.01595   0.04981   0.09379        24      1024    0.2545    0.7839    0.4538    0.3138   0.01848   0.02236   0.04449
     79/99     7.78G   0.03435    0.0165   0.04852   0.09936        28      1024    0.2507    0.7475    0.4709    0.3178   0.02036   0.02289   0.04452
     80/99     7.78G   0.02993   0.01606   0.04851   0.09451        23      1024    0.2622    0.7485    0.4593    0.3216   0.02052   0.02318   0.04474
     81/99     7.78G   0.03239   0.01489   0.04792    0.0952        19      1024    0.2494    0.7959    0.4767    0.3058   0.02362   0.02319   0.04493
     82/99     7.78G   0.02859   0.01678   0.04797   0.09334        26      1024    0.3098    0.7947    0.4893    0.3834   0.01354   0.02087   0.04502
     83/99     7.78G   0.02833   0.01674   0.04853    0.0936        29      1024    0.2787    0.8078    0.4783    0.3611   0.01606   0.02111   0.04517
     84/99     7.78G   0.02686   0.01461   0.04885   0.09032        38      1024    0.2584    0.8078    0.4691    0.2977   0.02106   0.02249   0.04514
     85/99     7.78G   0.02706   0.01704   0.04818   0.09228        35      1024    0.3069    0.7415     0.477    0.3873   0.01388   0.02171   0.04514
     86/99     7.78G   0.02728   0.01548   0.04889   0.09165        28      1024    0.2977    0.7854    0.5022    0.3754   0.01575   0.02166   0.04523
     87/99     7.78G   0.03085   0.01465   0.04612   0.09163        27      1024    0.2825    0.8241    0.4873    0.3717   0.01561   0.02117   0.04499
     88/99     7.78G   0.02261   0.01315   0.04858   0.08435        24      1024    0.2507    0.8835     0.485    0.3785   0.01347   0.01991   0.04418
     89/99     7.78G    0.0262   0.01529   0.04569   0.08718        38      1024    0.2553    0.8733    0.4904     0.377   0.01818   0.02187   0.04377
