    40/499     14.4G   0.04046   0.02057   0.05649    0.1175        39      1024    0.1889    0.1352    0.2034    0.1056   0.03206    0.0272   0.05137
    41/499     14.4G   0.03969   0.01873   0.05582    0.1142        25      1024    0.1944    0.1531    0.2344    0.1512     0.031   0.02569   0.05107
    42/499     14.4G    0.0396   0.01765   0.05631    0.1136        33      1024    0.3148    0.2479    0.2901    0.2191   0.02158   0.02453   0.05093
    43/499     14.4G   0.03872   0.01888   0.05478    0.1124        28      1024    0.1075    0.1292    0.2355    0.1346   0.02531   0.02593   0.05014
    44/499     14.4G   0.04031   0.01791   0.05391    0.1121        29      1024     0.215    0.3081    0.2614    0.1074   0.03097   0.02611   0.04881
    45/499     14.4G   0.04377   0.02101   0.05313    0.1179        41      1024    0.2573    0.2156    0.2766    0.1242    0.0257   0.02497   0.04776
    46/499     14.4G   0.04048   0.01909   0.05529    0.1149        33      1024    0.1975    0.1888     0.274    0.1648    0.0262   0.02547   0.04772
    47/499     14.4G   0.03664   0.01857   0.05458    0.1098        34      1024    0.1011    0.1727    0.2744    0.1402    0.0298   0.02514   0.04748
    48/499     14.4G    0.0375   0.01755   0.05346    0.1085        32      1024    0.1983    0.3711    0.3178    0.1914   0.02786   0.02512   0.04775
    49/499     14.4G   0.03968   0.01853   0.05268    0.1109        27      1024    0.2179    0.2644    0.2707    0.1348   0.02985   0.02566   0.04641
    50/499     14.4G   0.04194   0.02025   0.05178     0.114        52      1024    0.1886    0.3766    0.3036    0.1904   0.02064   0.02426   0.04612
    51/499     14.4G   0.03506   0.01745   0.05079    0.1033        39      1024    0.1868    0.3586    0.3127    0.1619    0.0313   0.02624   0.04668
    52/499     14.4G   0.04165   0.01884   0.05125    0.1117        30      1024    0.2484    0.4153    0.3584     0.246    0.0206   0.02534   0.04717
    53/499     14.4G   0.03539   0.01786   0.04992    0.1032        23      1024    0.2244    0.3311     0.357    0.2309   0.02055   0.02408   0.04642
    54/499     14.4G   0.03606   0.01733   0.05087    0.1043        36      1024    0.1763    0.4149    0.3463    0.2172   0.02265   0.02424   0.04595
    55/499     14.4G   0.03351   0.01772   0.04985    0.1011        35      1024    0.2482    0.4766    0.3541    0.2617   0.01669   0.02245   0.04531
    56/499     14.4G   0.03023   0.01705   0.04705   0.09433        18      1024    0.2254    0.3307    0.3242    0.2053   0.02581   0.02465   0.04461
    57/499     14.4G    0.0344   0.01785   0.04967    0.1019        35      1024    0.2071    0.6838    0.3854    0.2074   0.02563   0.02452   0.04377
    58/499     14.4G   0.03635   0.01658   0.04758    0.1005        32      1024     0.268    0.5578    0.3925    0.2574   0.02659   0.02419   0.04401
    59/499     14.4G   0.03852   0.01593   0.04907    0.1035        23      1024    0.1984    0.5176    0.3329    0.1918   0.02565   0.02414   0.04336
    60/499     14.4G   0.03316   0.01658   0.04734   0.09708        29      1024    0.2551    0.6849     0.402    0.2631   0.02322    0.0237   0.04227
    61/499     14.4G   0.03244   0.01569   0.04602   0.09415        41      1024    0.3034    0.6885     0.395    0.2644   0.01908   0.02308   0.04185
    62/499     14.4G    0.0299   0.01547   0.04848   0.09384        22      1024    0.2076    0.7426    0.3759    0.2823     0.024   0.02373   0.04214
    63/499     14.4G   0.03598   0.01619   0.04512   0.09729        26      1024    0.1939    0.7296     0.418     0.141   0.03718   0.02702    0.0425
    64/499     14.4G   0.04708   0.01928   0.04702    0.1134        34      1024    0.2716    0.6527    0.4321     0.213   0.02536   0.02717   0.04335
    65/499     14.4G   0.04211    0.0183   0.04655     0.107        34      1024    0.1643    0.8274    0.3701    0.1823   0.02918   0.02545   0.04247
    66/499     14.4G   0.04002   0.01697   0.04339    0.1004        20      1024    0.2483    0.6923    0.3927    0.2799   0.02281   0.02413   0.04241
    67/499     14.4G     0.038   0.01938   0.04652    0.1039        40      1024    0.2013    0.7315     0.385     0.226   0.02544   0.02395   0.04397
    68/499     14.4G   0.03923   0.01656   0.04419   0.09998        32      1024    0.2754    0.7253    0.4435    0.2892   0.02309   0.02486   0.04219
    69/499     14.4G   0.04479   0.01748   0.04636    0.1086        35      1024    0.1728    0.7904    0.4048    0.2574   0.02888   0.02497   0.04132
